subset,gridid,expansion_rate_n_mn,expansion_rate_area_mn,expansion_rate_n_se,expansion_rate_area_se,forest_px_sum,dist_px_sum,rate
total,83,0.5588058242303787,0.7726726182957324,0.04910290436632299,0.04120227842440232,997719.375,3507.215335161258,0.00351523226173818
total,84,0.3250302814441232,0.5921751826110675,0.009825653767376638,0.05229114873508304,1587942.5,3235.591483091697,0.00203759990244715
total,85,0.3854260349186188,0.6732385794690704,0.03755033040141439,0.08884209300884177,777046.875,2117.489983974359,0.00272504793739033
total,86,0.5106728001935237,0.5932989213355531,0.05986212086447623,0.11321644094549155,73167.5703125,237.84504582331732,0.0032506894079915
total,98,0.6865033271858563,0.8764658747833295,0.04305540818164944,0.02202677261027884,124097.5546875,1318.960227770683,0.01062841432365095
total,99,0.8104005066641214,0.9281103857010958,0.01850531041612058,0.010047844818654894,708661.3125,9045.461907802484,0.01276415369126346
total,100,0.817830152409747,0.9237409402438006,0.012999227474818206,0.008897524560865445,1322136.375,13059.023493840145,0.00987721368292294
total,101,0.7461054089538136,0.8808055338271376,0.014390550776145976,0.014014446743977433,1433523.625,13961.784279847756,0.00973948670001706
total,105,0.7020468908549696,0.8609908096892971,0.022762449732373426,0.020928365194840287,395911.78125,3883.6928992638223,0.00980949060672546
total,106,0.7273475602462735,0.8322381348580405,0.018856999635209558,0.021177677774183414,4102035.75,28749.40393379407,0.00700856981409634
total,107,0.6315102679673453,0.7702840501842422,0.03913851634024814,0.028776509401644917,1290018.25,6288.577035757212,0.00487479695404093
total,108,0.5137566137566137,0.543905764908201,0.09944556696450421,0.14518290782757454,32541.8359375,174.23076923076923,0.00535405468718475
total,111,0.4096051598187994,0.5431256353714986,0.08455070866845182,0.09284226307070811,114084.7421875,420.8173047090188,0.0036886379075775
total,112,0.5557873768743334,0.6964859180672134,0.09711654906929604,0.10407062859636597,108636.1484375,500.424738468268,0.00460642931165927
total,118,0.7966518557647296,0.9589593064832226,0.02518821008201311,0.009303028463909516,2514389.5,91291.75626001605,0.03630772251475598
total,119,0.6918941208372297,0.9077520585995078,0.022817336944632297,0.012124608175169459,1421258.875,23982.03461788862,0.01687379761684064
total,120,0.6763616912419752,0.9027658390009983,0.01943847404505502,0.009778508706954691,3645626.75,54656.38381410256,0.01499231478211601
total,121,0.6566454058442719,0.8681946893061668,0.02982781074566919,0.014149147755050398,2754575.75,24870.22333233173,0.00902869464828902
total,122,0.5699191836366435,0.8545497490890113,0.0340287127400606,0.019670654356073475,3470218.5,25912.6920322516,0.00746716439678124
total,123,0.4130729425356179,0.7415538607027559,0.03271883415420545,0.026414624572950737,3137827.5,14317.962740384615,0.00456301780145167
total,124,0.2748997702491179,0.618818999314197,0.010403900232474929,0.06098748360722437,2409373.75,6886.09064816206,0.00285804169990731
total,125,0.4659965544931818,0.7199327446354403,0.052531775804797246,0.03821397258139911,2731194,20722.142869215742,0.00758721016127589
total,126,0.8758088425912275,0.9627893590601913,0.028437663575323843,0.011358928984446532,160718.9375,2425.4015186016377,0.01509095042767836
total,128,0.8583587553494166,0.917686260736102,0.02493714930913716,0.022620745299086063,65659.1796875,920.8813263330704,0.01402517257626331
total,129,0.8003260869565217,0.8900518485442336,0.04509233740991576,0.04045973538420285,10711.8896484375,89.84334192520532,0.00838725424494177
total,133,0.725124981127137,0.846484881739592,0.026970510672512677,0.0216467718405863,1541895,12975.882537059297,0.00841554226264388
total,134,0.6549233414663118,0.7990111236779853,0.04429457404411331,0.04641990898437809,1340274,10108.467502691808,0.00754209027608668
total,139,0.6250009428496001,0.7510103413376154,0.0513398928947348,0.04357084747410861,10583.146484375,69.12033491868239,0.00653117057585208
total,140,0.7633530452290339,0.8960246586943617,0.016249391877571732,0.007673313590346125,3521301.75,40112.252629206734,0.01139131363258111
total,141,0.8054093313939792,0.9136795184131947,0.024132049326150665,0.016859025721366244,8447.92578125,131.6344491029397,0.01558186618957989
total,143,0.5647959861775651,0.6243812242226018,0.052804977524956324,0.07039986586720526,0,0,NA
total,144,0.6453732949261242,0.7534173656058446,0.022918455821565244,0.028578458895264645,2148147.5,12191.614561423276,0.00567540849100132
total,145,0.5986820485758289,0.7912735430907691,0.043020074371186594,0.01590995925386221,3841683.5,10085.382537059297,0.00262525076234398
total,146,0.4586349881538437,0.7937731246278303,0.03733795138998213,0.05554710069521667,2206358.75,15686.199847881611,0.00710954184032021
