gridid,forest_px_sum
945,1157213.25
946,459440.5
951,1259267
952,5445463.5
953,576938.8125
954,1843522.125
955,6033252
956,5995774.5
957,6587466
958,439915.6875
959,573126.625
960,897396.25
961,2938679.5
962,4427690.5
963,7634490
964,4092538.5
982,6481.0712890625
983,22512.1328125
984,386373.5
985,52900.6015625
990,2121828.75
991,4448102.5
992,6990952
993,4941173.5
994,5042456.5
995,6550750.5
996,6898604
997,2046530.125
999,747899.75
1000,3325185.75
1001,6254654
1002,6723980.5
1003,1014855.1875
1024,1209
1025,113
1029,2906226.75
1030,1029521.1875
1031,7802932
1032,7726665
1033,9142541
1034,9431136
1035,6865626
1036,5275552
1037,88777.140625
1038,3033.74267578125
1039,2159301.75
1040,6421023.5
1041,5653853.5
1042,196.8076629638672
1064,152091.5
1068,2844588.75
1069,1504590.375
1070,6581925
1071,8125193
1072,9710838
1073,9146259
1074,7976326
1075,1567656.5
1076,671925.3125
1077,3911427.75
1078,5474759
1079,1511313.375
1080,562967.1875
1081,61794.765625
1107,2800945
1108,1022966.75
1109,2966454.5
1110,4967291
1111,7166789.5
1112,9500568
1113,6433118.5
1115,208411.8125
1116,7604283
1117,7462600
1118,7117434
1119,4385267
1146,416544.9375
1147,2843687
1148,2849498.75
1149,3242173.25
1150,5650032
1151,9355810
1152,8212418.5
1153,144684.375
1154,2571034.5
1155,8519784
1156,8711692
1157,8215877
1158,7130617.5
1159,916209.625
1186,139333.6875
1187,3458133.75
1188,5448579.5
1189,6563480
1190,9527923
1191,9935053
1192,4395964
1193,2045547
1194,7675403.5
1195,8910126
1196,7879512
1197,7087147
1198,4197435
1226,61098.56640625
1227,4561844.5
1228,4535687.5
1229,8341436.5
1230,9402969
1231,9560261
1232,2179534.75
1233,5869545
1234,8816764
1235,8752064
1236,8492227
1237,4054497.75
1266,625081.125
1267,2510710.5
1268,6252659.5
1269,8965294
1270,9610600
1271,2140019.75
1272,2003144.625
1273,8196985.5
1274,9058806
1275,5849407.5
1306,2201999.75
1307,2207900.75
1308,7433048.5
1309,9692303
1310,7172447.5
1311,4571311
1312,8951849
1313,9157330
1314,766186.5
1345,867413.75
1346,1117912.25
1347,4509662
1348,9074525
1349,10021612
1350,9776505
1351,9123853
1352,6770469.5
1353,7055.6240234375
1384,357336.125
1385,1928412.125
1386,1161621.75
1387,7896721.5
1388,9166451
1389,9362175
1390,9418460
1391,1947766.375
1423,425015.1875
1424,2280864.75
1425,2527461.25
1426,2092483.625
1427,5339197
1428,8277674.5
1429,6040963
1430,835220.8125
1463,199595.203125
1464,1765480.875
1465,894195.25
1466,1964369.125
1467,4830736
1468,2912442.5
1504,440495.5625
1505,697516
1506,1005219.3125
1507,1409565.5
1543,2240.0966796875
1544,28949.861328125
1545,120719.2890625
1546,10817.26953125
