gridid,name,value,forest_px_sum,dist_px_sum,rate
865,ai,87.43104879851259,405875.28125,3399.4613725711138,0.0083756304697876
866,area,12.78695082322357,1311902.125,15249.933340219352,0.0116242919724056
866,np,9232,1311902.125,15249.933340219352,0.0116242919724056
866,ai,91.08489318865192,1311902.125,15249.933340219352,0.0116242919724056
867,area,8.45880142053862,1270356.25,12818.43612123147,0.01009042630461453
867,np,13516,1270356.25,12818.43612123147,0.01009042630461453
867,ai,88.53400556966552,1270356.25,12818.43612123147,0.01009042630461453
868,area,5.704589552238806,169822.453125,1592.77048824995,0.00937903356676617
868,np,2680,169822.453125,1592.77048824995,0.00937903356676617
868,ai,85.71972323443931,169822.453125,1592.77048824995,0.00937903356676617
874,area,13.44286554004415,406759.53125,6747.749491373698,0.01658903841942535
874,np,2722,406759.53125,6747.749491373698,0.01658903841942535
874,ai,91.89745130981883,406759.53125,6747.749491373698,0.01658903841942535
875,area,15.066822165176596,1891373.625,27627.941306089742,0.01460734195555346
875,np,11297,1891373.625,27627.941306089742,0.01460734195555346
875,ai,91.39964087011346,1891373.625,27627.941306089742,0.01460734195555346
876,area,18.67691244239631,405324.375,5035.435521834936,0.01242322404576565
876,np,1953,405324.375,5035.435521834936,0.01242322404576565
876,ai,92.11618872512678,405324.375,5035.435521834936,0.01242322404576565
877,area,57.466372679045094,2890976.25,39496.135679587336,0.01366186791731247
877,np,4524,2890976.25,39496.135679587336,0.01366186791731247
877,ai,96.28660836046988,2890976.25,39496.135679587336,0.01366186791731247
878,area,173.91450395778364,7322520,122087.01931527944,0.01667281472980332
878,np,3790,7322520,122087.01931527944,0.01667281472980332
878,ai,97.5048922442775,7322520,122087.01931527944,0.01667281472980332
879,area,125.72622213967308,3760888.25,70933.72298177083,0.01886089622093154
879,np,2692,3760888.25,70933.72298177083,0.01886089622093154
879,ai,97.40917768418976,3760888.25,70933.72298177083,0.01886089622093154
882,area,55.11813233724653,1148065.125,12125.454824594352,0.01056164372608596
882,np,1874,1148065.125,12125.454824594352,0.01056164372608596
882,ai,96.32778524180617,1148065.125,12125.454824594352,0.01056164372608596
883,area,45.17306198297566,4187185,40816.24509214744,0.00974789628166595
883,np,8341,4187185,40816.24509214744,0.00974789628166595
883,ai,94.8528644752022,4187185,40816.24509214744,0.00974789628166595
884,area,63.12342802628789,3307864.25,31892.98182091346,0.00964156307832567
884,np,4717,3307864.25,31892.98182091346,0.00964156307832567
884,ai,96.12919810678804,3307864.25,31892.98182091346,0.00964156307832567
885,area,43.42532510535822,4809547.5,41450.70119065505,0.0086184201716804
885,np,9966,4809547.5,41450.70119065505,0.0086184201716804
885,ai,94.79974567444748,4809547.5,41450.70119065505,0.0086184201716804
886,area,30.617609530583213,4783633.5,35967.892578125,0.00751894821752648
886,np,14060,4783633.5,35967.892578125,0.00751894821752648
886,ai,93.80016182930491,4783633.5,35967.892578125,0.00751894821752648
887,area,60.727762552189276,6302848.5,61661.761518429485,0.0097831578084781
887,np,9341,6302848.5,61661.761518429485,0.0097831578084781
887,ai,96.12160011275553,6302848.5,61661.761518429485,0.0097831578084781
888,area,40.04679692951849,5102116,47274.1760566907,0.00926560196920076
888,np,11464,5102116,47274.1760566907,0.00926560196920076
888,ai,94.87415992702616,5102116,47274.1760566907,0.00926560196920076
889,area,23.546273684210526,745217,5553.108119866787,0.00745166591726542
889,np,2850,745217,5553.108119866787,0.00745166591726542
889,ai,94.35703846228728,745217,5553.108119866787,0.00745166591726542
904,area,6.121940700808625,25348.1171875,333.7524185486329,0.01316675380975504
904,np,371,25348.1171875,333.7524185486329,0.01316675380975504
904,ai,86.99804601826375,25348.1171875,333.7524185486329,0.01316675380975504
905,area,14.798933891419425,1335608.25,14738.844298533904,0.01103530492457942
905,np,8123,1335608.25,14738.844298533904,0.01103530492457942
905,ai,90.92463264220362,1335608.25,14738.844298533904,0.01103530492457942
906,area,9.750708469055374,931358.0625,8377.690268492088,0.00899513367179562
906,np,8596,931358.0625,8377.690268492088,0.00899513367179562
906,ai,89.27580426631037,931358.0625,8377.690268492088,0.00899513367179562
907,area,13.4506784519828,312801.53125,3129.5926701472354,0.01000504267879038
907,np,2093,312801.53125,3129.5926701472354,0.01000504267879038
907,ai,90.90821746489519,312801.53125,3129.5926701472354,0.01000504267879038
913,area,41.29369127516798,136833.859375,3058.607950846354,0.02235271273365232
913,np,298,136833.859375,3058.607950846354,0.02235271273365232
913,ai,94.55477493069714,136833.859375,3058.607950846354,0.02235271273365232
914,area,11.74435044105854,650734.75,9142.631848457531,0.0140497058877792
914,np,4988,650734.75,9142.631848457531,0.0140497058877792
914,ai,90.7042244854951,650734.75,9142.631848457531,0.0140497058877792
915,area,18.087865416436845,364462.09375,4866.539588341346,0.01335266320365132
915,np,1813,364462.09375,4866.539588341346,0.01335266320365132
915,ai,91.13248626864522,364462.09375,4866.539588341346,0.01335266320365132
916,area,158.2888907891522,7201448.5,116698.35326522436,0.01620484452054671
916,np,4093,7201448.5,116698.35326522436,0.01620484452054671
916,ai,97.50585868274257,7201448.5,116698.35326522436,0.01620484452054671
917,area,237.7594371767569,8682630,144257.27473958334,0.01661446759099297
917,np,3287,8682630,144257.27473958334,0.01661446759099297
917,ai,97.49816140809413,8682630,144257.27473958334,0.01661446759099297
918,area,303.98869396551726,7836867.5,150899.88701923078,0.01925512802394972
918,np,2320,7836867.5,150899.88701923078,0.01925512802394972
918,ai,98.29701927788655,7836867.5,150899.88701923078,0.01925512802394972
919,area,40.642012028430834,826542.125,10662.527299929889,0.01290016198500456
919,np,1829,826542.125,10662.527299929889,0.01290016198500456
919,ai,94.36339659186912,826542.125,10662.527299929889,0.01290016198500456
920,area,46.87422680412371,201862.140625,3184.5171399238784,0.01577570281412881
920,np,388,201862.140625,3184.5171399238784,0.01577570281412881
920,ai,94.99504042057234,201862.140625,3184.5171399238784,0.01577570281412881
921,area,68.6474683988764,2173193,33155.267578125,0.01525647633602952
921,np,2848,2173193,33155.267578125,0.01525647633602952
921,ai,96.98938704287792,2173193,33155.267578125,0.01525647633602952
922,area,79.67493536832269,5685224,79803.13161057692,0.0140369370864854
922,np,6421,5685224,79803.13161057692,0.0140369370864854
922,ai,96.48990285867804,5685224,79803.13161057692,0.0140369370864854
923,area,54.42712430426716,4237641,55230.66846955128,0.01303335239336019
923,np,7007,4237641,55230.66846955128,0.01303335239336019
923,ai,96.28086636547476,4237641,55230.66846955128,0.01303335239336019
924,area,59.483069466882064,6138029.5,78991.69811698717,0.01286922751299699
924,np,9285,6138029.5,78991.69811698717,0.01286922751299699
924,ai,95.9339228431452,6138029.5,78991.69811698717,0.01286922751299699
925,area,37.41688815789473,5688418.5,62134.97092848558,0.01092306603821177
925,np,13680,5688418.5,62134.97092848558,0.01092306603821177
925,ai,93.84925932922918,5688418.5,62134.97092848558,0.01092306603821177
926,area,119.7447718309859,4721931.5,53076.63328826122,0.01124044965249098
926,np,3550,4721931.5,53076.63328826122,0.01124044965249098
926,ai,97.4825106688759,4721931.5,53076.63328826122,0.01124044965249098
927,area,102.57186711522287,4064788.75,46447.8464042468,0.01142687831052642
927,np,3567,4064788.75,46447.8464042468,0.01142687831052642
927,ai,96.88438942388092,4064788.75,46447.8464042468,0.01142687831052642
928,area,34.4916,9578.4248046875,116.0158608754476,0.01211220667710118
928,np,25,9578.4248046875,116.0158608754476,0.01211220667710118
928,ai,92.80818306443108,9578.4248046875,116.0158608754476,0.01211220667710118
943,area,4.224375,3009.658447265625,11.974358974358974,0.00397864381761926
943,np,64,3009.658447265625,11.974358974358974,0.00397864381761926
943,ai,85.87656832824686,3009.658447265625,11.974358974358974,0.00397864381761926
944,area,5.925786830357143,353870.375,2750.3074235182544,0.0077720759289846
944,np,5376,353870.375,2750.3074235182544,0.0077720759289846
944,ai,86.04600817269053,353870.375,2750.3074235182544,0.0077720759289846
945,area,18.68973079684135,1157213.25,11728.28978866186,0.01013494253428385
945,np,5572,1157213.25,11728.28978866186,0.01013494253428385
945,ai,91.98620965272407,1157213.25,11728.28978866186,0.01013494253428385
946,area,12.341411097852028,459440.5,4577.675227238582,0.00996358663905028
946,np,3352,459440.5,4577.675227238582,0.00996358663905028
946,ai,90.26496227430492,459440.5,4577.675227238582,0.00996358663905028
951,area,33.54953212910868,1259267,8748.210225423178,0.00694706541616923
951,np,3377,1259267,8748.210225423178,0.00694706541616923
951,ai,93.32420843566709,1259267,8748.210225423178,0.00694706541616923
952,area,196.82085542168767,5445463.5,41768.340394631414,0.00767030031412962
952,np,2490,5445463.5,41768.340394631414,0.00767030031412962
952,ai,97.54409436045242,5445463.5,41768.340394631414,0.00767030031412962
953,area,121.46467289719627,576938.8125,5338.664212740385,0.0092534322480521
953,np,428,576938.8125,5338.664212740385,0.0092534322480521
953,ai,97.10230094570454,576938.8125,5338.664212740385,0.0092534322480521
954,area,71.55100949094046,1843522.125,25031.57677283654,0.01357812658355621
954,np,2318,1843522.125,25031.57677283654,0.01357812658355621
954,ai,95.28340821883292,1843522.125,25031.57677283654,0.01357812658355621
955,area,100.05595799557848,6033252,91403.65980568912,0.01514998210014915
955,np,5428,6033252,91403.65980568912,0.01514998210014915
955,ai,96.52448620522216,6033252,91403.65980568912,0.01514998210014915
956,area,138.28375512295082,5995774.5,95384.02579126605,0.01590854122203329
956,np,3904,5995774.5,95384.02579126605,0.01590854122203329
956,ai,97.00970273061549,5995774.5,95384.02579126605,0.01590854122203329
957,area,173.49556465769456,6587466,121199.9005408654,0.01839856183559283
957,np,3418,6587466,121199.9005408654,0.01839856183559283
957,ai,97.07509813010398,6587466,121199.9005408654,0.01839856183559283
958,area,56.25819345661451,439915.6875,4976.483567457933,0.01131235759228961
958,np,703,439915.6875,4976.483567457933,0.01131235759228961
958,ai,94.60567578901308,439915.6875,4976.483567457933,0.01131235759228961
959,area,72.96813559322034,573126.625,7180.968574719552,0.01252946253320468
959,np,708,573126.625,7180.968574719552,0.01252946253320468
959,ai,95.32313548175516,573126.625,7180.968574719552,0.01252946253320468
960,area,162.1274096385542,897396.25,12015.76420397636,0.01338958593149499
960,np,498,897396.25,12015.76420397636,0.01338958593149499
960,ai,98.59304865495183,897396.25,12015.76420397636,0.01338958593149499
961,area,176.07754491017963,2938679.5,42428.02766863505,0.01443778665507247
961,np,1503,2938679.5,42428.02766863505,0.01443778665507247
961,ai,97.97798746418582,2938679.5,42428.02766863505,0.01443778665507247
962,area,104.038261550509,4427690.5,66364.45825821314,0.01498850433611227
962,np,3831,4427690.5,66364.45825821314,0.01498850433611227
962,ai,96.65237947049079,4427690.5,66364.45825821314,0.01498850433611227
963,area,78.81139694919142,7634490,101636.61790427184,0.0133128235028498
963,np,8719,7634490,101636.61790427184,0.0133128235028498
963,ai,96.2820166032313,7634490,101636.61790427184,0.0133128235028498
964,area,71.56543406486696,4092538.5,51604.72226186899,0.01260946531397786
964,np,5149,4092538.5,51604.72226186899,0.01260946531397786
964,ai,96.3753641124112,4092538.5,51604.72226186899,0.01260946531397786
982,area,2.8134782608695654,6481.0712890625,134.53846153846155,0.02075867638819365
982,np,207,6481.0712890625,134.53846153846155,0.02075867638819365
982,ai,84.08575228855332,6481.0712890625,134.53846153846155,0.02075867638819365
983,area,1.9485,22512.1328125,124.79725510034804,0.00554355538587857
983,np,1040,22512.1328125,124.79725510034804,0.00554355538587857
983,ai,73.26909749390803,22512.1328125,124.79725510034804,0.00554355538587857
984,area,10.892875939849624,386373.5,5795.7208251953125,0.01500030624562842
984,np,3192,386373.5,5795.7208251953125,0.01500030624562842
984,ai,90.37948002654831,386373.5,5795.7208251953125,0.01500030624562842
985,area,19.595555555555556,52900.6015625,1022.3387725047576,0.01932565495114274
985,np,243,52900.6015625,1022.3387725047576,0.01932565495114274
985,ai,92.95334820369227,52900.6015625,1022.3387725047576,0.01932565495114274
990,area,18.868751729590826,2121828.75,19206.603177584133,0.00905191014005448
990,np,10118,2121828.75,19206.603177584133,0.00905191014005448
990,ai,91.48574837231914,2121828.75,19206.603177584133,0.00905191014005448
991,area,61.60113454433527,4448102.5,42059.434870793266,0.00945559030413379
991,np,6496,4448102.5,42059.434870793266,0.00945559030413379
991,ai,95.2357877502968,4448102.5,42059.434870793266,0.00945559030413379
992,area,163.48409976617302,6990952,54608.696364182695,0.00781133905141713
992,np,3849,6990952,54608.696364182695,0.00781133905141713
992,ai,97.39163206658782,6990952,54608.696364182695,0.00781133905141713
993,area,118.23498670212766,4941173.5,67823.28370392628,0.01372614900163418
993,np,3760,4941173.5,67823.28370392628,0.01372614900163418
993,ai,96.87146319945104,4941173.5,67823.28370392628,0.01372614900163418
994,area,159.45697821503865,5042456.5,70063.06410256411,0.01389462935427685
994,np,2846,5042456.5,70063.06410256411,0.01389462935427685
994,ai,97.1701766896065,5042456.5,70063.06410256411,0.01389462935427685
995,area,167.90716320136713,6550750.5,110211.65324519233,0.01682427887387747
995,np,3511,6550750.5,110211.65324519233,0.01682427887387747
995,ai,97.4900749280032,6550750.5,110211.65324519233,0.01682427887387747
