gridid,forest_px_sum,dist_px_sum,rate
331,4849302.5,32030.91095753205,0.0066052614695684695
332,649968.25,1865.2193767841045,0.002869708446195802
334,994300.1875,10660.32391826923,0.010721434082269275
335,3856654.5,34376.21487505008,0.008913480550318957
336,6546831.5,42795.817933693914,0.006536874812448421
337,7667119.5,65682.11927834536,0.008566726953759539
338,7583303.5,68517.4756234976,0.009035307056284586
339,6800957,55366.6823417468,0.008141013439983049
340,6186833.5,47342.465770232375,0.007652131865231605
341,6442346.5,55555.479066506414,0.008623485102284768
342,5372823,46387.08407201523,0.008633652006033927
343,2997902.5,32322.54210486779,0.010781718920100901
344,2162483.75,13443.264748597756,0.0062165853262933215
353,3433188.5,138448.75380608975,0.04032658090462838
354,6103484,184168.25080128206,0.03017428255751667
355,5485178,131510.4802684295,0.02397560849774237
356,2589565.25,35097.636192908656,0.013553485934717674
357,701820.3125,18696.03660857372,0.026639349525201608
358,20155.423828125,201.00042939797427,0.009972523084208085
359,1834989.125,77890.73858173077,0.04244752054415078
360,7479150,332249.62620192306,0.04442344734387237
361,2254462.25,16293.184595352564,0.007227082465165502
362,3794851.75,18214.265174278848,0.004799730364770863
363,5570062,54439.33944310898,0.009773560768822498
364,5765154.5,41453.1393729968,0.007190291148831622
365,5519278.5,23510.52100861378,0.004259709128396724
366,4072912.75,26481.01031650641,0.006501737685519144
367,3787684.25,21399.85600711138,0.005649852150984174
368,5186850,20007.77537810497,0.0038574038921705793
369,1833453.125,11965.409705528846,0.006526160686834492
370,183962.484375,1592.2557537372295,0.00865532860760611
371,296799.90625,3899.6846876878003,0.013139103502286906
372,1634160.375,9673.306876940605,0.00591943546357291
373,6342575,30808.338635566906,0.004857386571789361
374,6868886,36656.08934294872,0.005336540647631759
375,7360784,44764.22191756811,0.006081447562863971
376,6068356.5,37421.853396684695,0.006166719670587036
377,4447438.5,51569.46786107773,0.011595318937198958
378,6720445.5,64574.64297876602,0.009608684867508564
379,1606119.375,22502.341471354168,0.01401037919199136
380,954057.0625,16465.831599308895,0.017258749236824494
381,2310743.75,26612.654697516027,0.011516921639414162
382,3629617.5,27750.302145933492,0.00764551695762253
383,1574116.25,13736.845502804486,0.008726703318642753
393,494259.78125,10560.762294671475,0.021366825089354717
398,61897.703125,1528.3003884339944,0.024690744749407766
399,4331250,140556.02123397434,0.03245160663410663
400,4856814,41497.25220352564,0.008544130412143771
401,5746075.5,57877.80759214744,0.010072580423307602
402,4710377.5,30083.790364583332,0.006386704752343805
403,3926407.75,25170.52283653846,0.006410572828697799
404,5080471.5,22218.496619591348,0.004373313898048901
405,3909360.5,17683.83368389423,0.004523459446601108
406,4171911,26135.30310997596,0.006264587885498028
407,3073970.5,13615.34551532452,0.0044292375334521
408,4266242,18519.919521233973,0.004341038206748228
409,1518910.125,6965.990944886819,0.004586177174167444
410,2379681.5,20118.260623247195,0.008454182050516927
411,8131656,33839.95902819511,0.004161508926127115
412,6371318.5,36637.24815368652,0.005750340083247529
413,5977602,34899.032151442305,0.0058382997314713
414,3705806.5,35179.65309495192,0.009493116571238115
415,1570766,17903.374787159457,0.011397862436008582
416,1717445.25,25592.703181340145,0.014901612253048617
